私,10,10,-35,代名詞,*,*,*,*,*,ワタシ,私,私,ワタシ,私,ワタシ,和,*,*,*,*,*,*,体,ワタシ,ワタシ,ワタシ,ワタシ,0,*,*
自転車,16080,17374,1598,名詞,普通名詞,一般,*,*,*,ジテンシャ,自転車,自転車,ジテンシャ,自転車,ジテンシャ,漢,*,*,*,*,*,*,体,ジテンシャ,ジテンシャ,ジテンシャ,ジテンシャ,"2,0",C1,*
飛行機,16121,17415,1598,名詞,普通名詞,一般,*,*,*,ヒコウキ,飛行機,飛行機,ヒコーキ,飛行機,ヒコーキ,漢,*,*,*,*,*,*,体,ヒコウキ,ヒコウキ,ヒコウキ,ヒコウキ,2,C1,*
幼稚園,16125,17419,1598,名詞,普通名詞,一般,*,*,*,ヨウチエン,幼稚園,幼稚園,ヨーチエン,幼稚園,ヨーチエン,漢,*,*,*,*,*,*,体,ヨウチエン,ヨウチエン,ヨウチエン,ヨウチエン,3,C1,*
自動車,16080,17374,1598,名詞,普通名詞,一般,*,*,*,ジドウシャ,自動車,自動車,ジドーシャ,自動車,ジドーシャ,漢,*,*,*,*,*,*,体,ジドウシャ,ジドウシャ,ジドウシャ,ジドウシャ,"2,0",C1,*
図書館,16121,17415,1598,名詞,普通名詞,一般,*,*,*,トショカン,図書館,図書館,トショカン,図書館,トショカン,漢,*,*,*,*,*,*,体,トショカン,トショカン,トショカン,トショカン,2,C1,*
冷蔵庫,16125,17419,1598,名詞,普通名詞,一般,*,*,*,レイゾウコ,冷蔵庫,冷蔵庫,レーゾーコ,冷蔵庫,レーゾーコ,漢,*,*,*,*,*,*,体,レイゾウコ,レイゾウコ,レイゾウコ,レイゾウコ,3,C1,*
違和感,16121,17415,1598,名詞,普通名詞,一般,*,*,*,イワカン,違和感,違和感,イワカン,違和感,イワカン,漢,*,*,*,*,*,*,体,イワカン,イワカン,イワカン,イワカン,2,C1,*
不動産,16080,17374,1598,名詞,普通名詞,一般,*,*,*,フドウサン,不動産,不動産,フドーサン,不動産,フドーサン,漢,*,*,*,*,*,*,体,フドウサン,フドウサン,フドウサン,フドウサン,"2,0",C1,*
法案,16113,17407,3527,名詞,普通名詞,一般,*,*,*,ホウアン,法案,法案,ホーアン,法案,ホーアン,漢,*,*,*,*,*,*,体,ホウアン,ホウアン,ホウアン,ホウアン,0,C2,*
無人島,16113,17407,1598,名詞,普通名詞,一般,*,*,*,ムジントウ,無人島,無人島,ムジントー,無人島,ムジントー,漢,*,*,*,*,*,*,体,ムジントウ,ムジントウ,ムジントウ,ムジントウ,0,C2,*
