n0020by;針子の乙女;259;1478;1194;82992;48729;3789;3101;26.76;21.84;3.07;184083;4753.45;6144.93;8660.79;77.00;76.60;76.72;76.99
n0031ei;異世界国家アルキマイラ　―最弱の王と無双の軍勢―;183;2354;2131;484148;291420;19798;12969;37.33;24.27;18.37;1058428;5796.30;7555.71;10256.55;72.41;73.10;72.53;72.41
n0074em;最強の魔導士。ひざに矢をうけてしまったので田舎の衛兵になる;82;2024;1803;922163;534375;61108;48137;19.16;15.03;32.82;2080833;3578.10;4738.95;6500.16;77.99;77.57;77.35;77.91
n0089bk;異世界迷宮の最深部を目指そう 《一章～七章》;193;2655;2499;3675030;2165315;182479;112379;32.70;19.91;135.08;8331629;4021.39;5413.23;7742.46;79.57;79.61;79.64;79.50
n0186bu;魔法書を作る人;x;2471;2187;804695;487632;47049;33991;23.67;16.97;30.29;1775903;4887.28;6671.94;9372.39;79.67;80.08;80.62;80.78
n0228eg;スキル『台所召喚』はすごい！～異世界でごはん作ってポイントためます～;278;1623;1321;220101;126745;11819;8646;25.46;18.51;7.78;494839;4599.60;6392.54;9683.07;82.59;83.75;81.97;82.16
n0350em;異世界転移、地雷付き。;171;2525;2272;1451800;868243;65162;44777;32.42;22.04;52.86;3241108;4244.85;5901.56;8895.55;79.21;79.49;79.61;79.35
n0358dh;痛いのは嫌なので防御力に極振りしたいと思います。;107;1870;1647;507338;297637;26176;20221;25.09;19.20;18.11;1117479;3898.77;5242.82;7549.65;77.11;76.53;76.69;76.92
n0388dp;俺んちに来た女騎士と田舎暮らしすることになった件;x;2441;2141;615713;369903;29457;18036;34.14;20.80;23.02;1353817;7282.32;9959.92;14144.84;79.59;79.65;80.30;80.16
n0407cz;転生吸血鬼さんはお昼寝がしたい;x;2221;1957;733453;435662;36170;23468;31.25;20.22;26.94;1645843;3869.89;5171.85;7403.63;83.25;82.91;82.47;82.88
n0439bf;最新のゲームは凄すぎだろ;246;2244;1997;660375;385995;26425;13605;48.54;24.82;24.07;1408711;4818.52;6309.45;8731.15;77.73;77.59;77.68;77.61
n0442em;冒険者ライセンスを剥奪されたおっさんだけど、愛娘ができたのでのんびり人生を謳歌する;136;1940;1643;279836;166445;15857;12241;22.86;17.51;10.11;631751;4309.31;5697.05;8163.15;83.24;84.26;83.33;83.62
n0447ca;異世界転移したのでチートを生かして魔法剣士やることにする;218;1858;1594;439621;264956;17973;12669;34.70;24.03;16.09;947193;3657.47;4840.87;6963.64;79.25;78.58;78.59;78.83
n0537cm;邪神アベレージ;x;2023;1770;290189;177771;10843;8215;35.32;26.53;11.01;629425;4280.28;5623.77;7836.64;76.04;76.56;76.16;76.11
n0561cm;加賀100万石に仕える事になった;x;2045;1741;226506;141817;11242;6602;34.31;20.02;9.14;499880;8158.73;10663.24;14824.65;59.72;62.80;60.64;59.92
n0579dc;異世界コンサル株式会社（旧題：冒険者パーティーの経営を支援します！！）;251;2469;2194;1043503;646431;41262;29920;34.88;25.14;39.96;2277174;5341.75;7150.76;9998.12;73.49;75.13;75.61;74.75
n0595ch;戦慄の魔術師と五帝獣;x;1953;1739;423239;251487;20979;16306;25.96;20.09;15.48;950909;3544.48;4690.85;6542.83;79.28;79.50;79.58;79.47
n0597ea;勇者の活躍はこれからだ！;x;2407;2180;1160098;723237;45195;36744;31.57;25.59;44.81;2533728;7208.64;9323.43;13167.52;68.42;69.63;68.66;68.49
n0608dy;万年Ｄランクの中年冒険者、酔った勢いで伝説の剣を引っこ抜く;284;2169;1904;439405;260042;23525;18922;23.22;18.55;16.00;990657;4165.31;5562.90;7859.07;80.91;81.17;81.12;81.12
