6MEN dice BBS(川上稔 古橋秀之 橋本紡 高畑京一郎 中里融司 土門弘幸);1245;887;38123;22523;2142;1159;32.89;17.56;1.42;85935;4436.17;6001.88;8900.25;72.48;71.38;71.11;72.10
C★NOVELS;2443;2139;339382;202130;15754;8265;41.06;21.29;12.57;746478;7968.83;10559.12;14777.75;69.98;69.23;69.29;69.97
FlyingShine;2229;1950;402521;234356;37293;26319;15.29;10.69;15.25;958582;8033.20;10728.40;15195.92;68.09;63.43;63.65;67.64
daisy feat.戯画;1718;1409;305352;172781;20927;15253;20.02;14.52;11.22;723684;4357.40;6167.97;9505.26;72.77;70.29;69.55;72.26
あさのあつこ;1461;1166;69555;40660;4391;2113;32.92;15.79;2.57;159577;6433.98;8481.17;12268.45;72.65;71.60;71.13;72.27
おかゆまさき;1270;952;72648;39075;4445;2711;26.80;15.65;2.46;165284;5522.55;7480.44;11316.03;75.10;74.20;74.29;74.77
かんべむさし;1971;1673;215805;130802;9905;6101;35.37;21.70;7.99;478574;6688.07;8976.20;13015.10;71.35;71.12;70.49;71.29
きだ・みのる;1947;1533;93147;60639;3860;1345;69.25;23.93;3.67;199963;5565.90;7700.93;11359.95;67.18;64.13;65.77;65.76
きゃんでぃそふと;2181;1933;801870;459656;99793;90953;8.82;7.95;28.18;1890374;6596.99;9154.97;13397.97;71.06;64.52;66.61;69.62
つかこうへい;2566;2237;709294;417911;31347;18850;37.63;22.53;25.95;1567212;8154.76;10939.45;15013.47;71.14;71.31;70.76;71.11
なだいなだ;1749;1481;225653;138528;6518;2033;111.00;34.51;8.20;489722;4496.06;6318.20;9592.72;69.77;71.91;71.40;69.66
はままさのり;1750;1463;195723;111810;9920;5734;34.13;19.29;6.87;430886;9660.81;12145.51;16009.81;65.69;64.49;63.98;64.28
むぅ;1570;1267;247208;139183;15220;11052;22.37;16.00;8.68;557499;2754.99;3962.93;6220.95;75.46;75.04;74.63;75.50
