aete mushisuru;1987;1723;487284;285571;41916;35166;13.86;11.49;17.75;1186788;3774.67;5249.05;7669.92;82.48;80.83;81.11;82.30
amakoi;2028;1752;780069;442826;54686;28028;27.83;13.96;27.61;1863787;2610.24;3623.40;5478.91;91.16;92.27;91.05;89.73
ao no kanata;2129;1846;873044;505670;56968;42554;20.52;15.15;31.46;2039182;3266.83;4551.23;6764.82;81.15;80.40;80.85;80.79
astelight shuushuubako;2982;2595;485559;293340;14344;9535;50.92;33.55;18.65;1062193;11822.55;14968.33;20006.85;47.63;65.90;62.84;58.27
axanael;1861;1585;378897;208590;43090;31457;12.04;8.66;12.86;1018620;4473.03;6185.94;8852.18;77.37;74.89;74.59;76.23
biman1;1750;1394;177219;98201;12451;7630;23.23;14.05;6.27;435951;4260.90;5683.87;8101.80;82.34;82.02;82.45;82.25
buraban;1800;1570;743503;437600;59511;39213;18.96;12.38;27.10;1843652;1935.97;2684.83;4162.70;85.14;85.33;85.87;86.25
chronobox;1985;1737;490390;275580;41199;22341;21.95;11.60;17.54;1215132;4078.96;5481.36;8027.40;82.76;82.92;83.29;83.25
chronobox trials;1265;914;62045;35103;5448;3102;20.00;11.14;2.24;153851;3214.80;4330.18;6543.58;83.20;84.36;84.40;84.74
clacra;2215;1954;798979;448038;58006;40785;19.59;13.48;28.51;1966623;3943.99;5445.39;7776.45;83.09;82.36;82.96;83.07
cloverpoint;2258;1995;826177;474200;60632;40705;20.30;13.47;29.68;2000171;4705.86;6448.75;9354.50;82.24;81.60;82.09;81.81
daitoshokan;2312;2055;1062593;627059;76469;65781;16.15;13.81;39.49;2517383;3876.12;5338.45;7770.46;80.41;79.49;79.48;79.83
daitoshokan fandisk;2035;1760;458971;267957;34261;28268;16.24;13.31;16.96;1090969;3826.30;5230.74;7475.65;81.36;80.52;80.74;81.00
dies irae;2790;2551;1614080;951741;89885;54695;29.51;17.69;59.89;3623949;6527.17;8713.60;11887.69;76.03;75.78;75.61;75.52
dracuriot;2218;1944;1154120;663550;84384;49856;23.15;13.54;40.95;2788115;3082.67;4276.20;6400.32;82.97;82.65;82.78;81.96
eustia;2454;2210;946912;565396;69146;61214;15.47;13.65;34.92;2233829;4351.62;6186.41;8976.12;83.30;82.24;82.97;83.32
fate stay night;2556;2320;1598035;958825;93064;67643;23.62;17.06;59.12;3670684;4877.72;6484.58;9027.63;76.00;76.68;77.29;76.63
flowers1;1979;1690;313427;191620;18334;12505;25.06;16.99;11.82;715696;4197.77;5878.24;8919.55;75.62;74.99;74.67;74.98
