aete mushisuru;[[https://vndb.org/v10803|vndb]];1987;1723;535637;285571;41916;35166;15.23;11.49;17.75;1186788;3777.40;5258.01;7610.57;82.34;80.82;81.11;82.23
amakoi;[[https://vndb.org/v16201|vndb]];2028;1752;865094;442826;54686;28028;30.87;13.96;27.61;1863787;2581.85;3586.60;5489.47;90.90;91.78;90.61;89.37
ao no kanata;[[https://vndb.org/v12849|vndb]];2129;1846;940519;505670;56968;42554;22.10;15.15;31.46;2039182;3285.70;4610.83;6743.76;81.37;80.65;81.08;81.03
astelight shuushuubako;[[https://vndb.org/r25625|vndb]];2982;2595;515830;293340;14344;9535;54.10;33.55;18.65;1062193;11659.72;14762.33;19814.14;48.46;66.72;63.82;59.51
axanael;[[https://vndb.org/v3971|vndb]];1861;1585;452892;208590;43090;31457;14.40;8.66;12.86;1018620;4513.05;6155.44;9025.55;77.62;75.34;75.04;76.61
biman1;[[https://vndb.org/v8038|vndb]];1750;1394;204695;98201;12451;7630;26.83;14.05;6.27;435951;4259.60;5672.43;7989.30;82.63;82.33;82.69;82.50
buraban;[[https://vndb.org/v532|vndb]];1800;1570;857148;437600;59511;39213;21.86;12.38;27.10;1843652;1930.16;2685.99;4154.82;85.25;85.52;86.05;86.40
chronobox;[[https://vndb.org/v20144|vndb]];1985;1737;558728;275580;41199;22341;25.01;11.60;17.54;1215132;4021.21;5445.72;7951.80;82.62;82.86;83.23;83.19
chronobox trials;[[https://vndb.org/v20144|vndb]];1265;914;70097;35103;5448;3102;22.60;11.14;2.24;153851;3187.80;4293.45;6507.90;82.76;84.04;84.08;84.39
clacra;[[https://vndb.org/v3371|vndb]];2215;1954;913337;448038;58006;40785;22.39;13.48;28.51;1966623;3950.49;5503.48;7803.15;83.38;82.68;83.22;83.32
cloverpoint;[[https://vndb.org/v427|vndb]];2258;1995;930226;474200;60632;40705;22.85;13.47;29.68;2000171;4714.49;6393.75;9341.15;82.39;81.74;82.21;81.95
daitoshokan;[[https://vndb.org/v8158|vndb]];2312;2055;1150641;627059;76469;65781;17.49;13.81;39.49;2517383;3868.15;5334.45;7652.41;80.59;79.67;79.70;80.02
daitoshokan fandisk;[[https://vndb.org/v12480|vndb]];2035;1760;498115;267957;34261;28268;17.62;13.31;16.96;1090969;3849.46;5159.49;7403.82;81.51;80.71;80.93;81.18
dies irae;[[https://vndb.org/v548|vndb]];2790;2551;1713635;951741;89885;54695;31.33;17.69;59.89;3623949;6574.46;8689.31;11821.70;76.67;76.36;76.19;76.10
dracuriot;[[https://vndb.org/v8213|vndb]];2218;1944;1289692;663550;84384;49856;25.87;13.54;40.95;2788115;3043.32;4249.33;6413.15;83.07;82.65;82.80;82.02
eustia;[[https://vndb.org/v3770|vndb]];2454;2210;1020293;565396;69146;61214;16.67;13.65;34.92;2233829;4266.90;6050.11;8773.62;83.55;82.46;83.17;83.48
fate stay night;[[https://vndb.org/v11|vndb]];2556;2320;1730055;958825;93064;67643;25.58;17.06;59.12;3670684;4730.39;6450.85;8864.22;76.51;77.12;77.68;77.05
flowers1;[[https://vndb.org/v14267|vndb]];1979;1690;336967;191620;18334;12505;26.95;16.99;11.82;715696;4035.10;5666.21;8213.74;76.35;75.58;75.29;75.58
flowers1+2+3;x;2412;2178;902724;519146;48779;33604;26.86;17.26;32.04;1918212;5138.83;7045.19;9870.61;73.02;72.96;72.46;72.67
flowers2;[[https://vndb.org/v15395|vndb]];2032;1731;271482;155134;14646;10300;26.36;17.34;9.66;577012;5506.95;7395.54;10538.35;71.17;71.47;70.81;70.99
flowers3;[[https://vndb.org/v18152|vndb]];2084;1808;295577;172879;16034;11020;26.82;17.30;10.59;628936;5409.60;7225.76;10205.10;70.87;71.21;70.73;70.90
flyable heart;[[https://vndb.org/v1179|vndb]];1849;1626;854635;460113;56446;42919;19.91;13.81;28.58;1856734;2118.32;2936.39;4518.75;87.36;87.40;87.37;87.51
fortissimoexs;[[https://vndb.org/v7595|vndb]];2306;2107;1362699;719469;68827;42717;31.90;17.43;45.47;2898110;3940.85;5350.83;7461.34;79.10;79.48;79.17;77.38
fortunearterial;[[https://vndb.org/v87|vndb]];2186;1942;914471;505495;66355;62552;14.62;12.79;31.55;2020723;3557.63;4900.42;7187.77;83.29;82.82;83.08;83.89
fureraba;[[https://vndb.org/v11856|vndb]];2083;1853;1071190;557185;65668;49041;21.84;14.63;34.79;2326559;3289.97;4635.83;7038.88;81.01;80.41;80.89;80.64
futsuu no fantasy;[[https://vndb.org/v9734|vndb]];2018;1777;782846;422455;48851;36967;21.18;14.67;26.28;1685892;3582.82;4832.40;6933.22;84.66;84.16;84.62;84.32
gensou no idea;[[https://vndb.org/v11881|vndb]];2481;2225;869906;476863;48809;31707;27.44;16.27;29.69;1860870;5572.23;7472.71;10134.97;78.83;78.23;77.86;77.95
grisaia;[[https://vndb.org/v5154|vndb]];2611;2364;1745874;967480;95866;58976;29.60;16.58;58.75;3722925;4474.91;6263.88;9334.38;79.24;79.44;79.86;79.13
hanachirasu;[[https://vndb.org/v430|vndb]];2149;1742;147576;88041;7848;5840;25.27;17.66;5.50;313174;8993.80;11711.35;16206.98;61.25;60.20;57.71;58.54
hanahira;[[https://vndb.org/v5244|vndb]];947;654;52047;25363;4264;3487;14.93;10.77;1.61;118834;2841.60;3964.80;6062.90;84.55;86.26;83.83;83.80
harumade kururu;[[https://vndb.org/v9198|vndb]];1908;1659;615399;329066;41978;24170;25.46;13.24;20.04;1331974;2808.17;3965.41;6216.15;86.78;87.04;86.55;86.82
hatsukoi yohou;[[https://vndb.org/v5782|vndb]];1834;1586;680448;352632;47730;28876;23.56;12.46;21.96;1462836;2214.24;3113.53;4764.58;85.23;85.10;85.20;85.48
hatsuyuki sakura;[[https://vndb.org/v7302|vndb]];1980;1705;586154;314103;47091;34890;16.80;11.29;19.17;1321507;3962.50;5449.56;8171.53;85.33;86.43;86.23;87.61
henkoi;[[https://vndb.org/v15730|vndb]];1897;1602;624716;296027;46944;21506;29.05;11.19;18.42;1341639;2957.33;4273.25;6294.44;78.77;77.08;77.68;77.28
hoshimemo;[[https://vndb.org/v1474|vndb]];2080;1864;960610;538675;60811;53037;18.11;14.64;32.92;1967904;4045.13;5522.70;7853.08;82.40;81.40;81.39;82.40
iinchou shounin;[[https://vndb.org/v353|vndb]];2051;1789;664500;330257;57137;31613;21.02;9.97;20.45;1452024;3169.00;4459.35;6646.50;82.79;82.19;82.58;83.35
imakoi;[[https://vndb.org/v13565|vndb]];1446;1157;158324;81099;9229;5826;27.18;15.52;5.10;335623;2984.67;3913.39;5467.37;78.18;78.58;79.12;78.79
inganock;[[https://vndb.org/v417|vndb]];2065;1816;411434;229312;32103;16295;25.25;11.60;14.13;882985;5126.33;6996.54;9678.50;76.16;73.04;72.54;74.63
itsusora;[[https://vndb.org/v23|vndb]];2465;2182;623109;356470;35948;29092;21.42;15.86;21.78;1329820;4958.60;6830.42;9823.12;80.71;79.35;80.24;80.40
jingai makyou;[[https://vndb.org/v400|vndb]];2495;2207;791758;450310;52865;30595;25.88;13.86;27.93;1742586;5250.83;7065.93;9910.80;81.91;80.15;80.98;81.87
kagerou;[[https://vndb.org/v835|vndb]];2938;2598;854180;489011;26550;19906;42.91;29.79;30.67;1761494;8421.57;11241.18;15728.37;66.03;63.30;66.76;63.99
kajiri 18;[[https://vndb.org/v5844|vndb]];2798;2488;895829;512648;45515;27063;33.10;18.29;32.35;1899540;7576.08;9989.89;13638.11;66.43;65.51;66.67;66.68
kajiri akebono;[[https://vndb.org/v5844|vndb]];2861;2565;1083276;624653;53302;31694;34.18;19.00;39.37;2293097;7430.85;9782.34;13485.02;66.40;65.31;66.41;66.29
kamikaze explorer;[[https://vndb.org/v4942|vndb]];2244;1981;1194658;604325;76446;44103;27.09;13.72;37.80;2571862;3489.05;4768.44;7064.32;80.45;79.72;80.63;80.04
kamimaho;[[https://vndb.org/v15871|vndb]];2159;1945;940485;524213;52471;42813;21.97;16.53;32.85;2014648;3417.20;4606.41;6753.12;80.67;78.88;79.22;79.68
kanojo no seiiki;[[https://vndb.org/v16150|vndb]];1294;1056;176214;92009;11349;7970;22.11;13.92;5.71;381072;2358.43;3248.18;4782.71;86.96;86.82;86.39;86.71
katahane;[[https://vndb.org/v22|vndb]];1865;1659;643411;332630;40062;28103;22.89;14.19;20.09;1385255;3420.90;4834.84;7216.18;80.80;80.70;80.73;79.85
kaziklu;[[https://vndb.org/v18685|vndb]];2068;1726;219863;122771;10189;6061;36.28;20.33;7.66;462813;6247.33;8232.95;11101.50;76.41;78.15;78.35;77.72
kikaijikake no eve;[[https://vndb.org/v568|vndb]];2566;2361;1682391;898559;85737;43525;38.65;17.68;56.49;3541220;6357.62;8337.87;11303.81;67.82;70.35;70.94;69.73
kimikoe;[[https://vndb.org/v364|vndb]];2222;1981;797849;420545;57012;43427;18.37;12.55;26.39;1739034;4145.10;5667.10;8403.18;84.17;83.64;83.77;84.02
kirakira;[[https://vndb.org/v414|vndb]];2281;1986;1129923;631370;50511;34586;32.67;20.98;38.92;2380568;3656.54;5064.74;7570.82;80.79;81.27;81.54;79.96
koichoco;[[https://vndb.org/v4028|vndb]];1991;1760;863575;434318;56921;39071;22.10;13.19;27.31;1855570;4031.75;5545.06;7970.58;82.28;81.80;82.33;81.71
leyline1;[[https://vndb.org/v10016|vndb]];1596;1323;357157;194743;23200;17452;20.47;13.87;11.93;778333;1964.10;2714.68;3912.36;86.32;86.98;86.69;86.36
leyline1+2+3;x;2019;1795;1227766;669613;75191;55792;22.01;14.77;41.08;2655246;2289.94;3170.42;4563.59;86.36;86.02;85.85;85.31
leyline2;[[https://vndb.org/v11093|vndb]];1748;1473;460293;252367;27251;20727;22.21;15.34;15.44;996191;2251.37;3156.03;4525.47;86.01;85.47;85.33;84.71
leyline3;[[https://vndb.org/v16212|vndb]];1661;1441;415297;224473;25497;18358;22.62;14.66;13.83;893636;2453.82;3333.12;4749.25;86.01;85.65;85.60;84.94
magical charming;[[https://vndb.org/v11857|vndb]];2118;1803;726822;365851;55385;36516;19.90;11.54;22.92;1589846;3083.70;4491.40;6946.82;84.48;84.94;84.85;85.60
majokoi;[[https://vndb.org/v14062|vndb]];1970;1709;605714;320953;45995;35060;17.28;11.84;19.68;1347720;3003.77;4322.96;6432.82;87.31;89.13;88.65;89.46
mamiyakun-chi;[[https://vndb.org/v18147|vndb]];1945;1723;1035063;538033;62698;38082;27.18;14.82;34.24;2231160;2922.99;3892.32;5571.56;84.27;83.55;84.14;83.64
monobeno;[[https://vndb.org/v12392|vndb]];2421;2186;2276982;1112344;172390;90236;25.23;11.55;72.02;4887951;4840.85;6638.66;9689.69;86.93;89.09;88.72;89.31
muramasa;[[https://vndb.org/v2016|vndb]];3070;2793;1298400;734933;89355;78135;16.62;13.24;46.82;2790559;9666.37;12614.85;17117.27;64.62;63.54;59.90;62.13
nanarin;[[https://vndb.org/v15473|vndb]];1851;1589;501710;249239;42533;26282;19.09;10.22;15.83;1122490;2914.99;4012.35;5820.38;84.17;86.90;87.45;88.05
nanatsuiro;[[https://vndb.org/v193|vndb]];1543;1312;500098;269699;36028;26947;18.56;12.51;16.50;1095590;1703.70;2366.63;3606.98;87.84;88.57;88.47;88.80
natsukumo yururu;[[https://vndb.org/v11855|vndb]];2004;1768;815928;442961;53449;31376;26.00;13.93;26.78;1766298;3145.45;4373.94;6608.84;85.69;85.52;85.11;85.42
nine kokoiro;[[https://vndb.org/v19829|vndb]];1536;1236;160876;82198;12729;9035;17.81;11.15;5.18;355520;3491.15;4630.35;6545.56;82.09;81.67;82.35;83.28
noratoto;[[https://vndb.org/v18148|vndb]];2050;1783;725185;367290;57781;40372;17.96;11.17;22.74;1611264;3700.21;5116.97;7846.86;85.34;85.58;84.12;84.57
nursery rhyme;[[https://vndb.org/v310|vndb]];2046;1779;709248;377828;41431;31423;22.57;15.72;23.50;1529245;3202.27;4456.63;6509.72;83.22;82.89;82.97;82.46
oniikiss;[[https://vndb.org/v18694|vndb]];1951;1681;725977;356693;50762;29170;24.89;12.26;22.34;1549471;2542.02;3477.19;5127.19;90.57;92.29;90.84;89.71
oniikiss fd;[[https://vndb.org/v20003|vndb]];1449;1176;275865;138855;19471;14206;19.42;12.48;8.56;597564;2348.95;3254.81;4784.42;89.33;91.19;88.00;87.16
oretsuba;[[https://vndb.org/v1141|vndb]];2770;2482;1694202;911520;89710;52522;32.26;17.58;56.59;3616658;6919.67;9281.97;12996.72;76.97;78.38;78.86;77.52
oretsuba afterstory;[[https://vndb.org/v3194|vndb]];2131;1827;444441;232540;26122;16054;27.68;15.58;14.56;955772;5309.70;7254.62;10274.15;80.14;79.91;80.13;78.84
oretsuba prelude;[[https://vndb.org/v842|vndb]];2171;1798;285845;150890;15150;8671;32.97;17.53;9.41;611915;8042.90;10698.34;14506.45;67.91;70.21;71.73;70.40
